**İTÜ Fahri Doktora Unvanları**

| **YIL** | **ADI SOYADI** | **MEZUNİYET** | **SENATO K. TARİH** |
| --- | --- | --- | --- |
| 1949 | Prof. Dr. K.TERZAGHI | Graz Teknik Üniversitesi’1904 | 09 Eylül 1949 |
| 1952 | Ord. Prof. Dr. DİSCHINGER |  | 30 Mayıs 1952 |
| 1954 | Ord. Prof. Dr. H.C.Paul BONATZ |  | 25 Kasım 1954 |
| 1955 | Prof. Dr. Theodore von KARMAN | Budapeşte Teknik Üniversitesi Makina Müh.’1902 | Ocak 1955 |
| 1955 | Ord. Prof. Dr. H.C.Gustave OELSNER |  | 12 Mayıs 1955 |
| 1957 | Ord. Prof. Dr. Habil MAX-FINK |  | 19 Aralık 1957 |
| 1963 | Prof. HOLZMEISTER |  | 21 Mart 1963 |
| 1963 | Ord. Prof. Dr. Rudolph WEYRICH | Breslav Üniversitesi’1914 | 04 Nisan 1963 |
| 1966 | Prof. Dr. Ing. H. C. Heinz GEOSCHEL |  | 10 Şubat 1966 |
| 1970 | Celal Esat ARSEVEN |  | 14 Mayıs 1970 |
| 1970 | Prof. Fritz STÜSSİ |  | 15 Ekim 1970 |
| 1976 | Dr. Fevzi AKKAYA | İnşaat’32 (vefat) | 25 Mart 1976 |
| 1979 | Ord. Prof. Dr. Cahit ARF | Fransa Ecole Normale Superieure’1932 (vefat) | 18 Ekim 1979 |
| 1979 | Ord. Prof. Dr. Ratip BERKER | Fransa Nancy Univ.’1933 (vefat) | 18 Ekim 1979 |
| 1984 | Dr. Ömer Cavit ÇITAK | Makina’54 (vefat) | 10 Mayıs 1984 |
| 1984 | Dr. Nurettin KOÇAK | İnşaat’55 | 10 Mayıs 1984 |
| 1984 | Dr. Üzeyir GARİH | Makina’55 (vefat) | 10 Mayıs 1984 |
| 1984 | Dr. Şarık TARA | İnşaat’54 (vefat) | 10 Mayıs 1984 |
| 1984 | Dr. Sezai TÜRKEŞ | İnşaat’32(vefat) | 10 Mayıs 1984 |
| 1987 | Dr. Talat ORHON | İÜ İkt’50 (vefat) | 24 Nisan 1987 |
| 1987 | Dr. Fikret YÜCEL | Elektrik’50 | 24 Nisan 1987 |
| 1989 | Dr.Akın ÇAKMAKÇI | Makina’60(vefat) | 27 Temmuz 1989 |
