**Projeler**

| Proje Türü | Proje Başlığı | Proje Ekibi | Proje Bitiş Yılı |
|------------|---------------|--------------|-------------------|
| 1773 İTÜ Teknopark/TTO | 2. Sürdürülebilir Su Yönetimi Kapsamında Denizli Aydınlar-Akbaş Baraj Gölü Havzasının Yeraltısuyu Bütçesi ve Kalitesi Üzerindeki Baskıların Belirlenmesi ve Havza Koruma Planının Hazırlanması | Prof.Dr. İrfan Yolcubal (Yürütücü), Prof.Dr.Emin Çiftçi, Dr.Öğr.Üyesi Ercan Sangu, Öğr.Görevlisi Ahmet Şener | 2024 |
| 1773 İTÜ Teknopark/TTO | İSKİ İçme suyu havzaları için koruma planı hazırlanması (10 adet) kapsamında jeoloji, hidrojeoloji ve yas hidrolojisi çalışmaları | Prof.Dr. İrfan Yolcubal (Yürütücü), Prof.Dr.Emin Çiftçi, Dr.Öğr.Üyesi Ercan Sangu, Öğr.Görevlisi Ahmet Şener | 2026 |
| 1773 İTÜ Teknopark/TTO | Kömür galerisine su geliminin kökeninin ve miktarının belirlemesi | Prof. Dr.Şenel Özdamar (Yürütücü), Prof. Dr. Emin Çiftçi, Prof. Dr.İrfan Yolcubal, Arş.Gör. Oral Sarıkaya | 2024 |
| 1773 İTÜ Teknopark/TTO | Sapanca ve Hendek Bölgelerinde DANONE kaynak sularının üretim miktarı ve kalitesi üzerindeki mevcut ve gelecekteki baskıların değerlendirilmesi | Prof. Dr.İrfan Yolcubal (Yürütücü), Dr.Öğr.Üyesi Erkan Bozkurtoğlu, Dr.Öğr.Üyesi Ercan Sanğu | 2024 |
| AB Projesi | EMODnet5 Geology | Prof. Dr. Kadir Eriş (yürütücü), Dr.Öğr.Üyesi Gülsen Uçarkuş, Asen Sabuncu | 2026 |
| İTÜ-BAP | Etimaden Kırka Bor Türevleri Tesislerinde Üretilen Artık Kilden Lityum Karbonat Üretim Prosesinin Geliştirilmesi | Doç.Dr. Muhammed Fatih Can (Yürütücü), Doç.Dr. Hüseyin Baştürkcü, Dr.Öğr.Üyesi Mustafa Kaya, Öğr.Gör. Beril Tanç Kaya, Arş.Gör. Nazlım İlkyaz Dinç, Arş.Gör.Dr. Esra Baştürkcü, Arş.Gör. Yusuf Enes Pural | 2027 |
| İTÜ-BAP | Integrated Geo-Seismic Modeling for Hydrocarbon Reservoir Delineation in the Complex Structural Region of Turkish Basins | Dr. Öğr. Üyesi Yasir Bashir (Yürütücü), Prof.Dr. Doğa Doğan, Prof.Dr. Abdullah Karaman, Dr.Öğr.Üyesi Alı Mohammadı, Dr.Öğr.Üyesi Zeynep Döner, Dr.Öğr.Gör. Abdul Halim Abdul Latiff, Dr. Seyed Yaser Moussavi Alashloo | 2026 |
| İTÜ-BAP | Kullanım Ömrünü Tamamlamış Cep Telefonu Lityum İyon Bataryalarından Değerli Metallerin Geri Kazanımı | Doç.Dr. Mustafa Özer (Yürütücü), Öğr.Gör. Beril Tanç Kaya, Arş.Gör. Zeynep Üçerler, Arş.Gör. Halide Nur Dursun, Arş.Gör. Nazlım İlkyaz Dinç, Öğrenci Fulya Mennik | 2024 |
| İTÜ-BAP | Çataldağ Çekirdek Kompleksi içerisindeki toryum mineralizasyonlarının incelenmesi ve zenginleşmeye sebep olan petrojenetik faktörlerin ortaya konması | Dr. Öğr. Görevlisi Alp Ünal (Yürütücü), Dr. Öğr. Üyesi Zeynep Döner, Dr.Öğr.Üyesi Ömer Kamacı, Arş.Gör. Ali Tuğcan Ünlüer | 2024 |
| İTÜ-BAP | Deprem Kuşaklarındaki Sismik Hareketlerin Jeotermal Alanlara Etkisinin Uzaktan Algılama Yöntemleri ile Belirlenmesi | Doç.Dr. Muhittin Karaman (Yürütücü), Prof.Dr. Yusuf Uras, Prof.Dr. Mustafa Kumral, Doç.Dr. Emre Özelkan, Arş.Gör.Dr. Oktay Canbaz, Dr. Cihan Yalçın, Esat Faruk Çakıcı | 2025 |
| İTÜ-BAP | Güneybatı Trakya’da Keşan Formasyonu Eosen Kaolen Ve Zeolit Oluşumlarının Jeolojik Mineralojik Jeokimyasal Köken Ve Hammadde Özelliklerinin Araştırılması, Proje No: MGA-2022-43538 | Dr. Öğr. Üyesi Bala Ekinci Şans (Yürütücü), Prof. Dr. Fahri Esenli, Arş. Gör. N. Merve Sütçü | 2024 |
| İTÜ-BAP | Isparta Açısı içerisindeki alkalipotasik kayaçların evrimi ve nadir yer elementleri zenginleşmelerine etkileşiminin araştırılması | Dr. Öğr. Üyesi Demet Yıldırım (Yürütücü), Doç. Dr. Amr Abdelnasser, Arş.Gör. Naşide Merve Sütçü | 2025 |
