**Title: Mezuniyet 2024**

**Contact Information:**
- **Phone:** +90 212 285 62 53
- **Fax:** +90 212 285 62 51
- **Address:** İTÜ, Ayazağa Kampüsü, Maden Fakültesi, PK:34469 Maslak / İstanbul

**Department Information:**
- **Department:** Jeoloji Mühendisliği
- **University:** İstanbul Teknik Üniversitesi, Ayazağa Yerleşkesi Maden Fakültesi, Jeoloji Mühendisliği Bölümü, 34469 Maslak, İstanbul

**Relevant Links:**
- [Mezuniyet 2024](https://jeoloji.itu.edu.tr/hakkimizda/mezuniyet-2024)
- [Anasayfa](https://jeoloji.itu.edu.tr/)
- [Hakkımızda](https://jeoloji.itu.edu.tr/hakkimizda)
- [Eğitim](https://jeoloji.itu.edu.tr/egitim)
- [Araştırma](https://jeoloji.itu.edu.tr/arastirma)
- [Öğrenciler](https://jeoloji.itu.edu.tr/ogrenciler)
- [Haberler](https://jeoloji.itu.edu.tr/haberler)
- [İletişim](https://jeoloji.itu.edu.tr/iletisim)

**Social Media:**
- [Facebook](https://www.facebook.com/itu1773)
- [Twitter](https://twitter.com/itu1773)
- [YouTube](https://www.youtube.com/itu1773)
- [Instagram](https://www.instagram.com/itu1773/)
- [LinkedIn](https://www.linkedin.com/school/itu1773)

**Note:** All irrelevant links and content have been removed for clarity.
