**Title: Yayınlar**

| Author | Title | Journal | Type | Date | Citation Count |
|--------|-------|---------|------|------|----------------|
| Yaprak Yalçın | A decentralized emergency control scheme for power System transient stability enhancement based on model predictive control | Electric Power Systems Research | Article | 1.08.2022 | 0 |
| Abdurrahman Yılmaz | A precise scan matching based localization method for an autonomously guided vehicle in smart factories | Robotics and Computer-Integrated Manufacturing | Article | 1.06.2022 | 0 |
| Hakan Temeltaş | A precise scan matching based localization method for an autonomously guided vehicle in smart factories | Robotics and Computer-Integrated Manufacturing | Article | 1.06.2022 | 0 |
| Afife Leyla Gören | Stabilization of a class of underactuated Euler Lagrange system using an approximate model | Transactions of the Institute of Measurement and Control | Article | 1.05.2022 | 0 |
| Volkan Sezer | Super-k: A piecewise linear classifier based on Voronoi tessellations | Neurocomputing | Article | 7.04.2022 | 0 |
| Emre Dincel | Robust PID controller design via dominant pole assignment for systems with parametric uncertainties | Asian Journal of Control | Article | 1.03.2022 | 1 |
| Mehmet Turan Söylemez | Robust PID controller design via dominant pole assignment for systems with parametric uncertainties | Asian Journal of Control | Article | 1.03.2022 | 1 |
| Ali Fuat Ergenç | A low-cost, portable, and practical LAMP device for point-of-diagnosis in the field | Biotechnology and Bioengineering | Article | 1.03.2022 | 0 |
| Volkan Sezer | Preface of ICRAIC 2021 | Journal of Physics: Conference Series | Editorial | 24.02.2022 | 0 |
| Fikret Çalışkan | Sensor fault-tolerant control of a quadrotor unmanned aerial vehicle | Proceedings of the Institution of Mechanical Engineers, Part G: Journal of Aerospace Engineering | Article | 1.02.2022 | 1 |
| Gülay Öke Günel | Fuzzy logic based air-to-air combat algorithm for unmanned air vehicles | International Journal of Dynamics and Control | Article | 1.02.2022 | 1 |
| Yaprak Yalçın | A novel hybrid firefly-whale optimization algorithm and its application to optimization of MPC parameters | Soft Computing | Article | 1.02.2022 | 0 |
| Tufan Kumbasar | Deep learning frameworks to learn prediction and simulation focused control system models | Applied Intelligence | Article | 1.01.2022 | 1 |
| Tufan Kumbasar | A framework for designing cognitive trajectory controllers using genetically evolved interval type-2 fuzzy cognitive maps | International Journal of Intelligent Systems | Article | 1.01.2022 | 0 |
