Title: İTÜ | Registrar's Office

URL Source: https://www.sis.itu.edu.tr/EN/student/adds-announcement/exam-cannot-courses/exam-cannot-courses.php

Markdown Content:
| ARC | 204E | Arch.Building Element Design |
| ARC | 212E | Architectural Design IV |
| ARC | 246E | Environmental Control Studio |
| ARC | 312E | Architectural Design VI |
| ARC | 351E | Architectural Design V |
| ARC | 361E | Archtctrl Survey & Restrtn Std |
| ARC | 411E | Architectural Design VII |
| ARC | 484E | Construction Project |
| ARC | 4902E | Diploma Project |
| BEB | 101 | Temel Yüzme Becerisi Öğrenimi |
| BEB | 102 | Yüzme Teknikleri Becerisi Öğrenimi |
| BEB | 103 | Voleybolda Temel Eğitim ve Beceri Kazanma |
| BEB | 104 | Tenis Teknik ve Taktik Eğitimi |
| BEB | 105 | Futbol ve Temel Hareket Öğretimi |
| BEB | 106 | Basketbol Temel Teknik Eğitimi |
| BEB | 107 | Spor ve Medya |
| BEB | 108 | Spor Sosyolojisi |
| BEB | 109 | Egzersiz ve Zihinsel Sağlık |
| BEB | 110 | Hentbol Temel Beceri Eğitimi |
| BEB | 111 | Masa Tenisi Temel Beceri Eğitimi |
| BEB | 112 | Okçuluk Temel Beceri Eğitimi |
| BEB | 113 | Temel Yoga Beceri Eğitimi |
| BEB | 114 | Futsal Temel Beceri Eğitimi |
| BEB | 115 | Atletizm Temel Eğitimi |
| BEB | 116 | Badminton Temel Beceri Eğitimi |
| BEB | 117 | Eskrim Temel Beceri Eğitimi |
| BEB | 118 | Genel Kondisyon ve Vücut Geliştirme |
| BEB | 119 | Golf Temel Beceri Eğitimi |
| BEB | 122 | Fiziksel Aktivite ve Egzersiz |
| BED | 201 | Beden Yeterliliği |
| BEN | 324 | Bioengineering Lab. I |
| BIL | 100E | Intr.to Prog.Language(PYTHON) |
| BIL | 110E | Intr. to Prog. Language (C) |
| BIL | 113E | Intr.to Sci& Eng.Comp.(MATLAB) |
| BIO | 103E | Int.to Mol.Biol.&Genet.&Ethics |
| BIO | 103E | Int.to Mol.Biol.&Genet.&Ethics |
| BIO | 106EL | General Biology II Lab. |
| BIO | 106EL | General Biology II Lab. |
| BIO | 207EL | Cell Biology Lab. |
| BIO | 216EL | Microbiology Lab. |
| BIO | 315EL | Biochemistry I Lab. |
| BIO | 317EL | Molecular Genetics Lab. |
| BIO | 328EL | Biochemistry II Lab. |
| BIO | 415EL | Molecular Biology Lab. |
| BIO | 4901E | Mol Bio & Genetics Design I |
| BIO | 4902E | Mol Bio & Genetics Design II |
| BIO | 492 | Bitirme Çalışması |
| BIO | 492E | Graduation Project |
| BLG | 242 | Lojik Devreler Laboratuvarı |
| BLG | 242E | Logic Circuits Lab. |
| BLG | 351 | Mikrobilgisayar Laboratuvarı |
| BLG | 351E | Microcomputer Lab. |
| BLG | 438 | Sayısal İşaret İşleme Laboratuvarı |
| BLG | 438E | Digital Signal Processing Lab. |
| BLG | 439 | Bilgisayar Proje 1 |
| BLG | 439E | Computer Project 1 |
| BLG | 440 | Bilgisayar Proje 2 |
| BLG | 440E | Computer Project 2 |
| BLG | 452 | Mikroişlemci Tasarım Lab. |
| BLG | 452E | Microprocessor Design Laboratory |
| BLG | 4901 | Bilgisayar Mühendisliği Tasarımı 1 |
| BLG | 4901E | Computer Engineering Design 1 |
| BLG | 4902 | Bilgisayar Mühendisliği Tasarımı 2 |
| BLG | 4902E | Computer Engineering Design 2 |
| BLG | 492 | Bitirme Çalışması |
| BLG | 492E | Graduation Project |
| CAB | 100 | Zurna I |
| CAB | 1013 | Viyola 1 |
| CAB | 1014 | Viyola 2 |
| CAB | 102 | Korno I |
| CAB | 104 | Zurna II |
| CAB | 105 | Tar I |
| CAB | 106 | Tar II |
| CAB | 107 | Bağlama I |
| CAB | 108 | Bağlama II |
| CAB | 109 | Ud I |
| CAB | 110 | Ud II |
| CAB | 1101 | Keman 1 |
